Review Decision,Type,Record ID,Record Name,Public Visibility,Brand/Category,Current Local Filename,To-be Filename,Current Project Path,To-be Project Path,S3 Key,Local Match Status,S3 Status,Planned Action,Local File Match Count,Matched Local Source Path,File Size KB,Content Type,DynamoDB Table,Image Field,Notes
Review,product,CCTV-0000004,Axis Outdoor 2MP Varifocal Bullet Security Camera,Y,CCTV Cameras,bullet-camera-02.png,bullet-camera-02.png,assets/images/products/bullet-camera-02.png,/api/media/products/2026/06/bullet-camera-02.png,products/2026/06/bullet-camera-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\bullet-camera-02.png,119.7,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,NETW-0000003,Cisco 24-Port Gigabit Stackable Managed Switch,Y,Networking,switch-03.png,switch-03.png,assets/images/products/switch-03.png,/api/media/products/2026/06/switch-03.png,products/2026/06/switch-03.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\switch-03.png,239.1,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,NETW-0000002,Cisco 48-port Gigabit PoE Stackable Switch,Y,Networking,switch-01.png,switch-01.png,assets/images/products/switch-01.png,/api/media/products/2026/06/switch-01.png,products/2026/06/switch-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\switch-01.png,121.2,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,NETW-0000001,D-Link 16-Port Gigabit Smart Managed Switch,Y,Networking,switch-02.png,switch-02.png,assets/images/products/switch-02.png,/api/media/products/2026/06/switch-02.png,products/2026/06/switch-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\switch-02.png,351.4,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000002,Dahua 2MP 4x PTZ HDCVI Camera,Y,CCTV Cameras,dome-camera-01.png,dome-camera-01.png,assets/images/products/dome-camera-01.png,/api/media/products/2026/06/dome-camera-01.png,products/2026/06/dome-camera-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\dome-camera-01.png,88.3,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,PACK-0000001,Dahua 2MP HDCVI IR Eyeball CCTV Camera Camera Kits,Y,Packages/Kits,package-01.png,package-01.png,assets/images/products/package-01.png,/api/media/products/2026/06/package-01.png,products/2026/06/package-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\package-01.png,414.1,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,PACK-0000003,Dahua 6MP IP CCTV Camera System with Built-in Mic,Y,Packages/Kits,package-dahua-02.png,package-dahua-02.png,assets/images/products/package-dahua-02.png,/api/media/products/2026/06/package-dahua-02.png,products/2026/06/package-dahua-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\package-dahua-02.png,1647.6,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000006,Dahua 8MP 4K Smart Dual Light HDCVI Motorized Vari-Focal Bullet Camera,Y,CCTV Cameras,bullet-camera-05.png,bullet-camera-05.png,assets/images/products/bullet-camera-05.png,/api/media/products/2026/06/bullet-camera-05.png,products/2026/06/bullet-camera-05.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\bullet-camera-05.png,29.4,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,PACK-0000002,Dahua HD-CVI 1080P CCTV Camera Package,Y,Packages/Kits,package-dahua-01.png,package-dahua-01.png,assets/images/products/package-dahua-01.png,/api/media/products/2026/06/package-dahua-01.png,products/2026/06/package-dahua-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\package-dahua-01.png,1638.0,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Done,product,CCTV-0000014,Dahua High-Quality Imaging with 2 MP Resolution Network Camera,Y,CCTV Cameras,dahua-high-quality-imaging-with-2-mp-resolution-network-camera-f1a013.png,dahua-high-quality-imaging-with-2-mp-resolution-network-camera-f1a013.png,/api/media/products/2026/06/dahua-high-quality-imaging-with-2-mp-resolution-network-camera-f1a013.png,/api/media/products/2026/06/dahua-high-quality-imaging-with-2-mp-resolution-network-camera-f1a013.png,products/2026/06/dahua-high-quality-imaging-with-2-mp-resolution-network-camera-f1a013.png,MISSING,ALREADY_IN_S3,NO_ACTION_ALREADY_IN_S3,0,,,,rsa_products,image_path,S3 object already exists.
Review,product,CCTV-0000012,Ezviz Wi-Fi Smart Home Camera,Y,CCTV Cameras,outdoor-01.png,outdoor-01.png,assets/images/products/outdoor-01.png,/api/media/products/2026/06/outdoor-01.png,products/2026/06/outdoor-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\outdoor-01.png,38.9,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,POWR-0000001,Hanwha PWR-12DC-8-5 8 Camera 12VDC 5Amp Power Supply,Y,Power Supply,powersupply-01.png,powersupply-01.png,assets/images/products/powersupply-01.png,/api/media/products/2026/06/powersupply-01.png,products/2026/06/powersupply-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\powersupply-01.png,106.3,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000005,Hikvision 2 MP Fixed Dome Network Camera,Y,CCTV Cameras,dome-camera-02.png,dome-camera-02.png,assets/images/products/dome-camera-02.png,/api/media/products/2026/06/dome-camera-02.png,products/2026/06/dome-camera-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\dome-camera-02.png,136.2,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,PACK-0000005,Hikvision 2-Way Audio HD IP CCTV Camera Package,Y,Packages/Kits,package-hikvision-02.png,package-hikvision-02.png,assets/images/products/package-hikvision-02.png,/api/media/products/2026/06/package-hikvision-02.png,products/2026/06/package-hikvision-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\package-hikvision-02.png,1575.9,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000003,Hikvision 2MP eco Platinum HD-TVI Turret Camera,Y,CCTV Cameras,turret-camera-01.png,turret-camera-01.png,assets/images/products/turret-camera-01.png,/api/media/products/2026/06/turret-camera-01.png,products/2026/06/turret-camera-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\turret-camera-01.png,177.3,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000009,Hikvision 2MP Fixed Turret Camera,Y,CCTV Cameras,turret-camera-03.png,turret-camera-03.png,assets/images/products/turret-camera-03.png,/api/media/products/2026/06/turret-camera-03.png,products/2026/06/turret-camera-03.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\turret-camera-03.png,4123.6,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,RECO-0000001,Hikvision 4-ch 1080p 1U H.265 DVR,Y,Recorders,8ch-dvr-02.png,8ch-dvr-02.png,assets/images/products/8ch-dvr-02.png,/api/media/products/2026/06/8ch-dvr-02.png,products/2026/06/8ch-dvr-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\8ch-dvr-02.png,394.6,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,RECO-0000003,Hikvision 4-CH 3MP 1U Turbo HD DVR,Y,Recorders,8ch-dvr-01.png,8ch-dvr-01.png,assets/images/products/8ch-dvr-01.png,/api/media/products/2026/06/8ch-dvr-01.png,products/2026/06/8ch-dvr-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\8ch-dvr-01.png,231.6,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000007,Hikvision 4K WDR Fixed Turret Network Camera with Build-in Mic,Y,CCTV Cameras,turret-camera-02.png,turret-camera-02.png,assets/images/products/turret-camera-02.png,/api/media/products/2026/06/turret-camera-02.png,products/2026/06/turret-camera-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\turret-camera-02.png,122.2,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,PACK-0000004,Hikvision 4MP HD IP CCTV Camera System,Y,Packages/Kits,package-hikvision-01.png,package-hikvision-01.png,assets/images/products/package-hikvision-01.png,/api/media/products/2026/06/package-hikvision-01.png,products/2026/06/package-hikvision-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\package-hikvision-01.png,1609.8,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Done,product,CCTV-0000001,Hikvision High quality imaging with 6 MP resolution 6MP Bullet Camera,Y,CCTV Cameras,hikvision-high-quality-imaging-with-6-mp-resolution-6mp-bullet-camera-2b6ef1.png,hikvision-high-quality-imaging-with-6-mp-resolution-6mp-bullet-camera-2b6ef1.png,/api/media/products/2026/06/hikvision-high-quality-imaging-with-6-mp-resolution-6mp-bullet-camera-2b6ef1.png,/api/media/products/2026/06/hikvision-high-quality-imaging-with-6-mp-resolution-6mp-bullet-camera-2b6ef1.png,products/2026/06/hikvision-high-quality-imaging-with-6-mp-resolution-6mp-bullet-camera-2b6ef1.png,MISSING,ALREADY_IN_S3,NO_ACTION_ALREADY_IN_S3,0,,,,rsa_products,image_path,S3 object already exists.
Review,product,CCTV-0000010,IMOU Pan Tilt Smart IP Camera White,Y,CCTV Cameras,ipcam-01.png,ipcam-01.png,assets/images/products/ipcam-01.png,/api/media/products/2026/06/ipcam-01.png,products/2026/06/ipcam-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\ipcam-01.png,151.2,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000008,Panasonic Day/Night Fixed Dome Camera with IR LED,Y,CCTV Cameras,dome-camera-03.png,dome-camera-03.png,assets/images/products/dome-camera-03.png,/api/media/products/2026/06/dome-camera-03.png,products/2026/06/dome-camera-03.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\dome-camera-03.png,421.6,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,STOR-0000002,Seagate 1TB SkyHawk HDD,Y,Storage,storage-02.png,storage-02.png,assets/images/products/storage-02.png,/api/media/products/2026/06/storage-02.png,products/2026/06/storage-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\storage-02.png,900.5,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,STOR-0000001,Seagate 2TB SkyHawk HDD,Y,Storage,storage-01.png,storage-01.png,assets/images/products/storage-01.png,/api/media/products/2026/06/storage-01.png,products/2026/06/storage-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\storage-01.png,359.8,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000013,TP-Link Test 123 6MP Bullet Camera,N,CCTV Cameras,product-placeholder.png,product-placeholder.png,assets/images/products/product-placeholder.png,/api/media/products/2026/06/product-placeholder.png,products/2026/06/product-placeholder.png,MISSING,MISSING_IN_S3,REVIEW_LOCAL_FILE,0,,,,rsa_products,image_path,
Review,product,RECO-0000002,Uniview 32 Channel 4SATA Ultra 265 Network Video Recorder,Y,Recorders,8ch-dvr-04.png,8ch-dvr-04.png,assets/images/products/8ch-dvr-04.png,/api/media/products/2026/06/8ch-dvr-04.png,products/2026/06/8ch-dvr-04.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\8ch-dvr-04.png,17.0,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,RECO-0000004,Uniview AI IQ 4K 32 Channel 16 PoE NVR,Y,Recorders,nvr-02.png,nvr-02.png,assets/images/products/nvr-02.png,/api/media/products/2026/06/nvr-02.png,products/2026/06/nvr-02.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\nvr-02.png,92.3,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
